flow,year,funktion_3_title,funktion_3_address,einzelplan_1_title,gruppe_2_address,gruppe_3_address,gruppe_2_title,gruppe_1_address,einzelplan_1_address,funktion_2_title,name,title,gruppe_1_title,einzelplan_2_address,funktion_1_title,funktion_2_address,gruppe_3_title,einzelplan_2_title,funktion_1_address,flexible,amount
einnahmen,2015,Sonstige Kulturpflege,187,Bundespräsident und Bundespräsidialamt,23,232,Sonstige (zweckgebundene) Zuweisungen aus dem öffentlichen Bereich,2,01,Kultur und Religion,0101 232 01 - 187,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,0101,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",18,Sonstige Zuweisungen von Ländern,Bundespräsident,1,nicht-flexibel,0
ausgaben,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,421,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0101 421 01 - 011,Bezüge des Bundespräsidenten,Personalausgaben,0101,Allgemeine Dienste,01,"Bezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",Bundespräsident,0,flexibel,226000
ausgaben,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,421,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0101 421 02 - 011,Aufwandsgeld,Personalausgaben,0101,Allgemeine Dienste,01,"Bezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",Bundespräsident,0,flexibel,78000
ausgaben,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,45,453,Sonstige personalbezogene Ausgaben,4,01,Politische Führung und zentrale Verwaltung,0101 453 01 - 011,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Personalausgaben,0101,Allgemeine Dienste,01,"Trennungsgeld, Umzugskostenvergütungen",Bundespräsident,0,flexibel,0
ausgaben,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,529,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0101 529 01 - 011,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0101,Allgemeine Dienste,01,Verfügungsmittel,Bundespräsident,0,nicht-flexibel,780000
ausgaben,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,54,545,Sächliche Verwaltungsausgaben (Obergruppe 54),5,01,Politische Führung und zentrale Verwaltung,0101 545 01 - 011,"Konferenzen, Tagungen, Messen und Ausstellungen","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0101,Allgemeine Dienste,01,Sonstiges,Bundespräsident,0,flexibel,0
ausgaben,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,68,681,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,6,01,Politische Führung und zentrale Verwaltung,0101 681 01 - 011,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,0101,Allgemeine Dienste,01,"Renten, Unterstützungen und sonstige Geldleistungen an natürliche Personen",Bundespräsident,0,nicht-flexibel,1348000
ausgaben,2015,Sonstige Kulturpflege,187,Bundespräsident und Bundespräsidialamt,68,684,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,6,01,Kultur und Religion,0101 684 01 - 187,Deutsche Künstlerhilfe,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,0101,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",18,Zuschüsse für laufende Zwecke an soziale oder ähnliche Einrichtungen (ohne öffentliche Einrichtungen),Bundespräsident,1,nicht-flexibel,2300000
einnahmen,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,11,119,Verwaltungseinnahmen,1,01,Politische Führung und zentrale Verwaltung,0111 119 57 - 018,Vermischte Einnahmen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0111,Allgemeine Dienste,01,Sonstige,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,0
einnahmen,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,23,232,Sonstige (zweckgebundene) Zuweisungen aus dem öffentlichen Bereich,2,01,Politische Führung und zentrale Verwaltung,0111 232 57 - 018,Beteiligung an den Versorgungslasten des Bundes,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,0111,Allgemeine Dienste,01,Sonstige Zuweisungen von Ländern,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,190000
einnahmen,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,28,282,Sonstige Zuschüsse aus sonstigen Bereichen,2,01,Politische Führung und zentrale Verwaltung,0111 282 09 - 011,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,0111,Allgemeine Dienste,01,Sonstige Zuschüsse aus dem Inland,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,0
ausgaben,2015,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,424,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0111 424 01 - 011,Zuführung an die Versorgungsrücklage,Personalausgaben,0111,Allgemeine Dienste,01,Zuführung an die Versorgungsrücklage,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,flexibel,0
ausgaben,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,43,431,Versorgungsbezüge und dgl.,4,01,Politische Führung und zentrale Verwaltung,0111 431 57 - 018,Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen,Personalausgaben,0111,Allgemeine Dienste,01,"Versorgungsbezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,1115000
ausgaben,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,43,432,Versorgungsbezüge und dgl.,4,01,Politische Führung und zentrale Verwaltung,0111 432 57 - 018,Versorgungsbezüge,Personalausgaben,0111,Allgemeine Dienste,01,Versorgungsbezüge der Beamten und Richter,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,3289000
ausgaben,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,43,434,Versorgungsbezüge und dgl.,4,01,Politische Führung und zentrale Verwaltung,0111 434 57 - 018,Zuführung an die Versorgungsrücklage,Personalausgaben,0111,Allgemeine Dienste,01,Zuführung an die Versorgungsrücklage,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,152000
ausgaben,2015,"Beihilfen, Unterstützungen u.ä.",840,Bundespräsident und Bundespräsidialamt,44,441,"Beihilfen, Unterstützungen und dgl.",4,01,"Beihilfen, Unterstützungen u.ä.",0111 441 01 - 840,Beihilfen aufgrund der Beihilfevorschriften,Personalausgaben,0111,Finanzwirtschaft,84,"Beihilfen, soweit nicht für Versorgungsempfänger und dgl.",Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,8,flexibel,200000
ausgaben,2015,"Beihilfen, Unterstützungen u.ä.",840,Bundespräsident und Bundespräsidialamt,44,443,"Beihilfen, Unterstützungen und dgl.",4,01,"Beihilfen, Unterstützungen u.ä.",0111 443 01 - 840,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,Personalausgaben,0111,Finanzwirtschaft,84,Fürsorgeleistungen und Unterstützungen,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,8,flexibel,40000
ausgaben,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,44,443,"Beihilfen, Unterstützungen und dgl.",4,01,Politische Führung und zentrale Verwaltung,0111 443 57 - 018,Fürsorgeleistungen und Unterstützungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften,Personalausgaben,0111,Allgemeine Dienste,01,Fürsorgeleistungen und Unterstützungen,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,0
ausgaben,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,44,446,"Beihilfen, Unterstützungen und dgl.",4,01,Politische Führung und zentrale Verwaltung,0111 446 57 - 018,Beihilfen aufgrund der Beihilfevorschriften,Personalausgaben,0111,Allgemeine Dienste,01,Beihilfen für Versorgungsempfänger und dgl.,Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,768000
ausgaben,2015,Unfallversicherung,223,Bundespräsident und Bundespräsidialamt,45,452,Sonstige personalbezogene Ausgaben,4,01,Sozialversicherung einschl. Arbeitslosenversicherung,0111 452 02 - 223,Unfallkasse des Bundes,Personalausgaben,0111,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",22,Personalbezogene Zahlungen an die Sozialversicherungsträger (soweit nicht unter Obergruppen 41 bis 44 erfasst),Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,2,flexibel,6000
ausgaben,2015,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundespräsident und Bundespräsidialamt,45,453,Sonstige personalbezogene Ausgaben,4,01,Politische Führung und zentrale Verwaltung,0111 453 57 - 018,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Personalausgaben,0111,Allgemeine Dienste,01,"Trennungsgeld, Umzugskostenvergütungen",Zentral veranschlagte Verwaltungseinnahmen und -ausgaben,0,nicht-flexibel,0
